TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Acceleration,Q,AoA,AltitudeTrue,Pitch,Mass,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
341.737248983234,1,18000.8726721194,131335.357910667,61.7839324615994,84.4518097049749,0,0,0,1800.08726721194,3.84514770507813,0,1328.51182774655,NaN,NaN,NaN
341.957248978317,1,180016.260270934,131439.444024508,617.769294560572,844.466272258102,0,0,0,129609.576090051,38.4595306396484,9.63301839789347,1328.59921928667,NaN,NaN,NaN
342.177248973399,1,180028.851562033,131543.525522826,617.652387590044,844.37976555114,0,0,0,180023.723717428,38.4731475830078,9.63301839789347,1328.6849885758,NaN,NaN,NaN
342.397248968482,1,180041.199656351,131647.597620289,617.537664971631,844.294881264694,0,0,0,180036.16871779,38.4867553710938,9.63301839789347,1328.76913531274,NaN,NaN,NaN
342.617248963565,1,180053.310875663,131751.670195354,617.425126030146,844.211619686571,0,0,0,180048.376842255,38.5003631591797,9.63301839789347,1328.85165921212,NaN,NaN,NaN
342.837248958647,1,180065.185211225,131855.738403254,617.314771694201,844.129981099221,0,0,0,180060.348082875,38.51396484375,9.63301839789347,1328.93255999395,NaN,NaN,NaN
343.05724895373,1,180076.620925918,131946.8993438,617.208535418268,844.051396461703,0,0,0,180072.051867692,38.5273406982422,9.63301839789347,1329.01186423089,NaN,NaN,NaN
343.277248948812,1,180087.259727264,132050.948481636,617.110148563087,843.978633572832,0.50301230407068,0,0,180082.809698275,38.5399810791016,9.63301839789347,1329.08966569178,NaN,NaN,NaN
343.497248943895,1,180098.445034086,132155.009612629,617.006154488536,843.901717988704,0.177521682720161,0,0,180093.889780098,38.5535614013672,9.63301839789347,1329.16584325098,NaN,NaN,NaN
343.717248938978,1,180109.393490993,132259.071521216,616.904348496272,843.826426483834,0.000122375965988568,0,0,180104.935129622,38.5671325683594,9.63301839789347,1329.24039664943,NaN,NaN,NaN
343.93724893406,1,180120.105104164,132363.122988713,616.804731474101,843.752759361939,0.000122357770776042,0,0,180115.74363289,38.5807006835937,9.63301839789347,1329.31332563366,NaN,NaN,NaN
344.157248929143,1,180130.579879446,132467.159701654,616.707304120026,843.680716745253,0.000122274766765744,0,0,180126.315295893,38.5942718505859,9.63301839789347,1329.38462995596,NaN,NaN,NaN
344.377248924226,1,180140.817822639,132571.208953993,616.612067217856,843.610298872417,0.000122209548427291,0,0,180136.650124453,38.6078460693359,9.63301839789347,1329.45430937315,NaN,NaN,NaN
344.597248919308,1,180150.818939282,132675.248174886,616.51902156536,843.541505989807,0.000122168435441546,0,0,180146.74812421,38.6214294433594,9.63301839789347,1329.52236364774,NaN,NaN,NaN
344.817248914391,1,180160.583234934,132779.273087125,616.42816799829,843.474338395292,0.000122132320178981,0,0,180156.609300681,38.6350006103516,9.63301839789347,1329.58879254802,NaN,NaN,NaN
345.037248909473,1,180170.110715034,132883.299600352,616.339507201827,843.408796252893,0.000122097010573857,0,0,180166.233659417,38.6485870361328,9.63301839789347,1329.65359584762,NaN,NaN,NaN
345.257248904556,1,180179.401384797,132987.316490937,616.253040066107,843.344879947809,0.000122082212031974,0,0,180175.621205691,38.6621612548828,9.63301839789347,1329.71677332535,NaN,NaN,NaN
345.477248899639,1,180188.455249219,133091.346595839,616.168767064837,843.282589453818,0.000122021204011594,0,0,180184.771944586,38.675732421875,9.63301839789347,1329.77832476549,NaN,NaN,NaN
345.697248894721,1,180197.272313414,133195.378692075,616.08668918767,843.221925272946,0.000122046157805865,0,0,180193.685881179,38.6893005371094,9.63301839789347,1329.83824995814,NaN,NaN,NaN
345.917248889804,1,180205.852582136,133299.385850579,616.006807053996,843.162887552388,0.000122053083995223,0,0,180202.363020369,38.7028717041016,9.63301839789347,1329.89654869867,NaN,NaN,NaN
346.137248884887,1,180214.196060191,133403.406637614,615.929121099416,843.105476265684,0.000121958719223448,0,0,180210.803366909,38.7164428710937,9.63301839789347,1329.95322078813,NaN,NaN,NaN
346.357248879969,1,180222.302752111,133507.418470813,615.853632137905,843.049691778698,0.000121910016399822,0,0,180219.006925502,38.7300018310547,9.63301839789347,1330.00826603306,NaN,NaN,NaN
346.577248875052,1,180230.172662426,133611.417165872,615.780340708557,842.995534196072,0.000121885060145134,0,0,180226.973700633,38.7435668945312,9.63301839789347,1330.06168424536,NaN,NaN,NaN
346.797248870134,1,180237.805795457,133715.434204354,615.709247499023,842.943003781303,0.000121854723271398,0,0,180234.703696727,38.7571350097656,9.63301839789347,1330.1134752425,NaN,NaN,NaN
347.017248865217,1,180245.202155417,133819.427026396,615.64035288544,842.892100502983,0.000121792302690736,0,0,180242.196918044,38.7706970214844,9.63301839789347,1330.16363884709,NaN,NaN,NaN
347.2372488603,1,180252.361746288,133923.418514752,615.573657911073,842.842825002424,0.000121839100156563,0,0,180249.45336865,38.7842712402344,9.63301839789347,1330.21217488759,NaN,NaN,NaN
347.457248855382,1,180259.284572172,134027.428725766,615.509162647573,842.795176961085,0.000121749336428174,0,0,180256.473052589,38.7978454589844,9.63301839789347,1330.25908319844,NaN,NaN,NaN
347.677248850465,1,180265.970636839,134131.415162702,615.446867899517,842.749156819815,0.000121710459270965,0,0,180263.255973803,38.8113983154297,9.63301839789347,1330.30436361862,NaN,NaN,NaN
347.897248845547,1,180272.41994389,134235.404953874,615.386773735653,842.704764282739,0.000121644820648544,0,0,180269.80213593,38.8249542236328,9.63301839789347,1330.34801599285,NaN,NaN,NaN
