TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Acceleration,Q,AoA,AltitudeTrue,Pitch,Mass,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
305.141482802108,2,17983.2723274466,66144.3494006794,31.4768007423834,53.8785997638164,0,0,0,1798.32723274466,3.79683837890625,0,1515.47577155748,NaN,NaN,NaN
305.361482797191,2,179841.820375853,66196.2763866548,314.601955956007,538.687886904504,0,0,0,129483.538254539,37.973486328125,34.8810573158407,1515.64126768722,NaN,NaN,NaN
305.581482792273,2,179857.033592536,66248.1998524329,314.324314838827,538.523915497205,0,0,0,179850.834742883,37.9821197509766,34.8810573158407,1515.80396813954,NaN,NaN,NaN
305.801482787356,2,179871.978853434,66300.1198374384,314.051253768414,538.362740921933,0,0,0,179865.887734337,37.9907562255859,34.8810573158407,1515.9638708089,NaN,NaN,NaN
306.021482782438,2,179886.660776941,66352.036406046,313.782783031392,538.20436525908,0,0,0,179880.677385662,37.9993896484375,34.8810573158407,1516.12097363012,NaN,NaN,NaN
306.241482777521,2,179900.450411957,66395.7663187018,313.530761100059,538.055775281204,0,0,0,179895.013889794,38.007666015625,34.8810573158407,1516.27539044033,NaN,NaN,NaN
306.461482772604,2,179914.004363863,66447.695396178,313.283024800258,537.90979098228,0.414427282169894,0,0,179908.300200151,38.0159637451172,34.8810573158407,1516.42714256301,NaN,NaN,NaN
306.681482767686,2,179927.920284983,66499.5931996475,313.027969947031,537.759569014228,0.0887900771824459,0,0,179922.250256694,38.0244476318359,34.8810573158407,1516.5760890227,NaN,NaN,NaN
306.901482762769,2,179941.572908385,66551.5034962523,312.777547589863,537.612153608928,7.9039417833748E-05,0,0,179936.010591983,38.0228454589844,34.8810573158407,1516.7222278851,NaN,NaN,NaN
307.121482757851,2,179954.962241675,66603.4056230147,312.531768841746,537.467547246565,7.90195223601687E-05,0,0,179949.507634314,37.9759155273438,34.8810573158407,1516.86555725272,NaN,NaN,NaN
307.341482752934,2,179968.088292817,66655.293373469,312.290643313531,537.325751218741,7.89721784856123E-05,0,0,179962.741390929,37.84306640625,34.8810573158407,1517.00607525985,NaN,NaN,NaN
307.561482748017,2,179980.951071477,66707.1877444853,312.054181491473,537.186767681814,7.89768460369847E-05,0,0,179975.711871419,37.5953857421875,34.8810573158407,1517.14378007621,NaN,NaN,NaN
307.781482743099,2,179993.55058708,66759.0880501796,311.82239288509,537.05059801585,7.88170493323848E-05,0,0,179988.419084365,37.2140319824219,34.8810573158407,1517.27866990566,NaN,NaN,NaN
308.001482738182,2,180005.886846697,66810.9759391578,311.595288189659,536.917244831808,7.86961430217581E-05,0,0,180000.863039415,36.6867889404297,34.8810573158407,1517.41074298829,NaN,NaN,NaN
308.221482733265,2,180017.959857498,66862.8695775773,311.372876833354,536.786709687964,7.88745513767617E-05,0,0,180013.043741926,36.0056854248047,34.8810573158407,1517.53999759925,NaN,NaN,NaN
308.441482728347,2,180029.769628798,66914.7289302511,311.155166075944,536.658992078719,7.82929732592469E-05,0,0,180024.961201627,35.1655792236328,34.8810573158407,1517.66643204803,NaN,NaN,NaN
308.66148272343,2,180041.316167217,66966.6171660891,310.94216966164,536.534098032222,7.87285749455728E-05,0,0,180036.615425406,34.1631256103516,34.8810573158407,1517.79004468366,NaN,NaN,NaN
