TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Acceleration,Q,AoA,AltitudeTrue,Pitch,Mass,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
370.641481338069,0,55268.7793553573,694222.633169732,1248.6490306849,1214.01363001366,0.00540552055206119,72.4477610581232,0.0417462272905801,55377.3955333658,75.1652221679688,65.0900314107348,366.238001542771,NaN,NaN,NaN
370.861481333151,0,55002.9621842349,694286.864724778,1250.3767063657,1215.80331583749,0.00567022023785818,76.011844464819,0.043519698748633,55111.7398353133,75.1881896972656,65.0898336425234,364.43713704957,NaN,NaN,NaN
371.081481328234,0,54736.7501753886,694351.112993689,1252.1054725529,1217.59339650564,0.00580037936112379,79.7484641623142,0.0442769822178004,54845.6893465525,75.21357421875,65.0894670739581,362.634786430468,NaN,NaN,NaN
371.301481323317,0,54470.143144799,694415.38482845,1253.83531692895,1219.38517666869,0.00601174492302347,83.6674511971966,0.0460596741666669,54579.2439607673,75.2383697509766,65.088895584624,360.830945125002,NaN,NaN,NaN
371.521481318399,0,54203.140755313,694479.676571396,1255.56620872959,1221.17746688618,0.00632001268295674,87.7790279186054,0.0479752800213645,54312.4033114201,75.2616607666016,65.0887563481738,359.025609541591,NaN,NaN,NaN
371.741481313482,0,53935.7428725436,694543.99079623,1257.29813096514,1222.97093203521,0.00663644829320552,92.0932370006297,0.0482076919587567,54045.1672479852,75.2838897705078,65.0886494770457,357.218775484196,NaN,NaN,NaN
371.961481308565,0,53667.9492555397,694608.327000964,1259.03106116664,1224.76527336398,0.00689645550480805,96.6202820956603,0.0482655688278144,53777.5355388973,75.3033874511719,65.0885729446818,355.410438999984,NaN,NaN,NaN
372.181481303647,0,53399.7597275925,694672.659832629,1260.76497662153,1226.5604040839,0.00714126976301117,101.370350813307,0.0482601667065532,53509.5079881065,75.3209503173828,65.088560666125,353.600596186805,NaN,NaN,NaN
372.40148129873,0,53131.1741328851,694737.0393053,1262.49984781881,1228.35631131429,0.00744256005790969,106.353624931351,0.0482009231321494,53241.0844346155,75.3379699707031,65.088560666125,351.789243123772,NaN,NaN,NaN
372.621481293812,0,52862.1923161808,694801.414241277,1264.23564569076,1230.15296618048,0.00778880910170479,111.580431793949,0.0481019293769395,52972.2647217391,75.3556701660156,65.0885000482012,349.976375871255,NaN,NaN,NaN
